Duplicate;Nucleus;Z;A;Ex [keV];T1/2;J;parity;m;error;Technique;Citation;N
1;9Li;3;9;0;178.3 ms;1.5;-;3.434;0.005;CFBLS/b-NMR;1988AR17;6
1;11Li;3;11;0;8.75 ms;1.5;-;3.668;0.003;CFBLS/b-NMR;1987AR22;8
1;7Be;4;7;0;53.2 d;1.5;-;-1.39928;0.00002;CFBLS;2008Ok01;3
1;17Ne;10;17;0;109 ms;0.5;-;0.7873;0.0014;CFBLS;2005GE06;7
1;19Ne;10;19;0;17.3 s ;0.5;+;-1.8846;0.0008;CFBLS;2005GE06;9
1;23Ne;10;23;0;37.24 s;2.5;+;-1.077;0.004;CFBLS;2005GE06;13
1;25Ne;10;25;0;0.6 s;0.5;+;-1.0062;0.0005;CFBLS;2005GE06;15
1;26Na;11;26;0;1.07 s;3;+;2.851;0.002;ABLS;1978HU12;15
1;27Na;11;27;0;0.29 s;2.5;+;3.895;0.005;ABLS;1978HU12;16
1;28Na;11;28;0;30.5 ms;1;+;2.426;0.005;ABLS;1978HU12;17
1;29Na;11;29;0;44.9 ms;1.5;+;2.449;0.008;ABLS;1978HU12;18
1;30Na;11;30;0;48 ms;2;+;2.083;0.01;ABLS;1978HU12;19
1;31Na;11;31;0;17 ms;1.5;+;2.283;0.038;ABLS;1978HU12;20
1;21Mg;12;21;0;122 ms;2.5;+;-0.983;0.007;CFBLS;2009KR05;9
1;27Mg;12;27;0;9.46 m;0.5;+;-0.4107;0.0015;CLS;2008KO05;15
1;29Mg;12;29;0;1.3 s;1.5;+;0.978;0.0006;CLS;2008KO05;17
1;31Mg;12;31;0;236 ms;0.5;+;-0.88355;0.00015;CLS;2008KO05;19
1;26Al;13;26;0;7.17 * 10^5 y;5;+;2.804;0.004;ABLS;1996CO04;13
1;33Ar;18;33;0;0.174 s;0.5;+;-0.723;0.006;CFBLS/b-NMR;1996KL04;15
1;35Ar;18;35;0;1.78 s;1.5;+;0.633;0.007;CFBLS/b-NMR;1996KL04;17
1;39Ar;18;39;0;269 y;3.5;-;-1.588;0.015;CFBLS/b-NMR;1996KL04;21
1;41Ar;18;41;0;1.82 h;3.5;-;-1.309;0.008;CFBLS;2008BL01;23
1;43Ar;18;43;0;5.37 m;2.5;-;-1.021;0.006;CFBLS;2008BL01;25
1;39K;19;39;0;Stable;1.5;+;0.39147;0.00003;ABLS;1993DU08;20
2;39K;19;39;0;Stable;1.5;+;0.3917;0.0012;CLS;2013PA11;20
1;46K;19;46;0;115 s;2;-;-1.051;0.006;ABLS;1982TO02;27
1;47K;19;47;0;17.5 s;0.5;+;1.933;0.009;ABLS;1982TO02;28
2;47K;19;47;0;17.5 s;0.5;+;1.9292;0.0001;CLS;2013PA11;28
1;49K;19;49;0;1.26 s;0.5;+;1.3386;0.0008;CLS;2013PA11;30
1;51K;19;51;0;365 ms;1.5;+;0.513;0.0022;CLS;2013PA11;32
1;41Ca;20;41;0;9.94 10^4 y ;3.5;-;-1.5942;0.0007;ABLDF;1983AR25;21
2;41Ca;20;41;0;9.94 10^4 y ;3.5;-;-1.606;0.02;ABLFS;1982AN15;21
1;45Ca;20;45;0;162.61 d;3.5;-;-1.3264;0.0013;BBCLS;2015RU02;25
2;45Ca;20;45;0;162.61 d;3.5;-;-1.316;0.016;ABLFS;1982AN15;25
1;47Ca;20;47;0;4.5 d;3.5;-;-1.4064;0.0011;BBCLS;2015RU02;27
2;47Ca;20;47;0;4.5 d;3.5;-;-1.38;0.03;ABLFS;1982AN15;27
1;47Ca;20;47;0;4.5 d;3.5;-;1.3799;0.008;BBCLS;2015RU02;27
2;49Ca;20;49;0;8.718 m;1.5;-;-1.38;0.06;CFBLS;1993VEZY;29
1;51Ca;20;51;0;10 s;1.5;-;-1.0496;0.0011;BBCLS;2015RU02;31
1;43Sc;21;43;0;3.89 h;3.5;-;4.528;0.01;CLS;2011AV01;22
1;44Sc;21;44;0;3.97 h;2;+;2.499;0.005;CLS;2011AV01;23
1;44Sc;21;44;271;58.61 h;6;+;3.833;0.012;CLS;2011AV01;23
1;45Sc;21;45;12.4;318 ms;1.5;+;0.36;0.011;CLS;2011AV01;24
1;46Sc;21;46;0;83.81 d;4;+;3.042;0.008;CLS;2011AV01;25
1;50Mn;25;50;229;1.75 m;5;+;2.76;0.01;TLS;2010CH15;25
1;51Mn;25;51;0;stable;2.5;-;3.577;0.004;BBCLS;2015BA49;26
1;53Mn;25;53;0;3.74?10^6 y;3.5;-;5.024;0.004;BBCLS;2015BA49;28
2;53Mn;25;53;0;3.74?10^6 y;3.5;-;5.035;0.001;TLS;2010CH15;28
1;54Mn;25;54;0;312 d;3;+;3.299;0.003;BBCLS;2015HE12;29
2;54Mn;25;54;0;312 d;3;+;3.306;0.001;TLS;2010CH15;29
1;56Mn;25;56;0;2.58 h;3;+;3.242;0.002;BBCLS;2015HE12;31
1;57Mn;25;57;0;85.4 s;2.5;-;3.483;0.002;BBCLS;2015BA49;32
1;58Mn;25;58;0;3 s;1;+;2.624;0.002;BBCLS;2015HE12;33
1;58Mn;25;58;72;65.4 s;4;+;3.064;0.002;BBCLS;2015HE12;33
1;59Mn;25;59;0;2.58 h;2.5;-;3.493;0.002;BBCLS;2015BA49;34
1;60Mn;25;60;0;0.28 s;1;+;2.489;0.007;BBCLS;2015HE28;35
1;60Mn;25;60;271;1.77 s;4;+;3.402;0.002;BBCLS;2015HE28;35
1;61Mn;25;61;0;0.67 s;2.5;-;3.534;0.001;BBCLS;2015BA49;36
1;62Mn;25;62;0;92 ms;1;+;2.385;0.007;BBCLS;2015HE28;37
1;62Mn;25;62;0;671 ms;4;+;3.172;0.003;BBCLS;2015HE28;37
1;63Mn;25;63;0;275 ms;2.5;-;3.435;0.004;BBCLS;2015BA49;38
1;64Mn;25;64;0;90 ms;3;+;2.086;0.003;BBCLS;2015HE28;39
1;58Cu;29;58;0;3.2 s;1;+;0.57;0.002;CLS;2011VI03;29
1;59Cu;29;59;0;81.5 s;1.5;-;1.891;0.0009;CLS;2011VI03;30
1;60Cu;29;60;0;23.4 m;2;+;1.2186;0.0005;CLS;2011VI03;31
1;61Cu;29;61;0;3.41 h;1.5;-;2.1083;0.0005;CLS;2011VI03;32
2;61Cu;29;61;0;3.41 h;1.5;-;2.1089;0.0011;CLS;2010VI07;32
1;62Cu;29;62;0;9.73 m;1;+;-0.3796;0.0004;CLS;2011VI03;33
2;62Cu;29;62;0;9.73 m;1;+;?0.3809;0.0012;CLS;2010VI07;33
1;63Cu;29;63;0;stable;1.5;-;2.2236;0.0004;CLS;2010VI07;34
1;64Cu;29;64;0;12.7 h;1;+;-0.2164;0.0004;CLS;2010VI07;35
1;66Cu;29;66;0;5.1 m;1;+;-0.2823;0.0008;CLS;2010VI07;37
1;67Cu;29;67;0;61.83 h;1.5;-;2.5142;0.0006;CLS;2010VI07;38
1;68Cu;29;68;0;31.1 s;1;+;2.3933;0.0006;CLS;2010VI07;39
2;68Cu;29;68;0;31.1 s;1;+;2.55;0.21;LRIS;2004GH13;39
1;68Cu;29;68;722;3.75 m;6;-;1.1548;0.0006;CLS;2010VI07;39
2;68Cu;29;68;722;3.75 m;6;-;1.26;0.55;LRIS;2004GH13;39
1;69Cu;29;69;0;2.85 m;1.5;-;2.8383;0.001;CLS;2010VI07;40
1;70Cu;29;70;0;44.5 s;6;-;1.3666;0.0005;CLS;2010VI07;41
2;70Cu;29;70;0;44.5 s;6;-;1.58;0.58;LRIS;2004GH13;41
1;70Cu;29;70;101;33 s;3;-;-3.3641;0.0015;CLS;2010VI07;41
2;70Cu;29;70;101;33 s;3;-;-3.54;0.35;LRIS;2004GH13;41
1;70Cu;29;70;243;6.6 s;1;+;1.7779;0.0015;CLS;2010VI07;41
2;70Cu;29;70;243;6.6 s;1;+;1.89;0.15;LRIS;2004GH13;41
1;71Cu;29;71;0;19.4 s;1.5;-;2.2747;0.0008;CLS;2010VI07;42
1;72Cu;29;72;0;6.63 s;2;-;-1.3472;0.001;CLS;2010VI07;43
1;73Cu;29;73;0;4.2 s;1.5;-;1.7426;0.0008;CLS;2010VI07;44
1;74Cu;29;74;0;1.6 s;2;-;-1.068;0.003;CLS;2010VI07;45
1;75Cu;29;75;0;1.22 s;2.5;-;1.0062;0.0013;CLS;2010VI07;46
1;79Zn;30;79;0;0.746 s;4.5;+;-1.1866;0.001;CLS;2016YA02;49
1;79Zn;30;79;1100;200 ms;0.5;+;-1.018;0.0012;CLS;2016YA02;49
1;63Ga;31;63;0;32.4 s;1.5;-;1.469;0.005;CLS;2012PR11;32
1;63Ga;31;63;75;25 ns;2.5;-;1.652;0.006;CLS;2012PR11;32
1;67Ga;31;67;0;78.3 h;1.5;-;1.848;0.005;CLS;2010CH16;36
1;69Ga;31;69;0;stable;1.5;-;2.018;0.004;CLS;2010CH16;38
1;70Ga;31;70;0;21.1 m;1;+;0.571;0.002;CLS;2012PR11;39
1;72Ga;31;72;0;14.1 h;3;-;-0.134;0.004;LRS;2011MA45;41
1;73Ga;31;73;0;4.86 h;1.5;-;0.209;0.002;CLS;2010CH16;42
1;74Ga;31;74;0;8.12 m;3;-;0;0.075;LRS;2011MA45;43
1;75Ga;31;75;0;126 s;1.5;-;1.836;0.004;CLS;2010CH16;44
1;76Ga;31;76;0;32.6 s;2;+;-0.946;0.004;LRS;2011MA45;45
1;77Ga;31;77;0;13.2 s;1.5;-;2.02;0.003;CLS;2010CH16;46
1;78Ga;31;78;0;5.1 s;2;+;-1.215;0.005;LRS;2011MA45;47
